File_name,Individual,Which_ear,Objective,Temperature,HatchingState,AgeGroup,Clutch,Age_days,Age_hours,Age_mins,Age_secs,Age,Img,RampDiff,R-R2,LampDiff,L-R2,AverageAmp,AverageR2,Stage,Hair_width,Sypse_width,Scan_date ,Slice_size ,Z_first,Z_last,Surface_type,N_images_in_sequence,Kaylee_Image_number_HC,Kaylee_N_hair_cells,Kaylee_Total_N_of_hair_cells,Kaylee_HC_to_HC_length_um,Kaylee_HC_to_HC_surface_area,Kaylee_HC_to_HC_surface_area_SubsDiffs,Kaylee_HC_surface_length_um,Kaylee_HC_surface_area,Kaylee_HC_notes,Avital_Image_number_HC,Avital_N_hair_cells,Avital_Total_N_of_hair_cells,Avital_HC_to_HC_length_um,Avital_HC_to_HC_surface_area,Avital_HC_to_HC_surface_area_SubsDiffs,HumanError,Avital_HC_surface_length_um,Avital_HC_surface_area,Avital_HC_notes,Kaylee_Image_number_SYN,Kaylee_N_synapses,Kaylee_Total_N_synapses,Kaylee_SYN_notes,Avital_Image_number_SYN,Avital_N_synapses,Avital_Total_N_synapses,Avital_SYN_notes,Julie_Image_number_SYN,Julie_N_synapses,Julie_Total_N_synapses,Julie_SYN_notes,Kaylee_Image_number_SICE,Kaylee_SiCE_N_synapses,Trial_2,Notes
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,4.219098718,0.301534151,7.916081097,0.210097685,6.067589908,6.991835502,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,4,6,42,68.627,3269.0952,3269.0952,127.577,4968.8424,None,4,1,23,3.784,1523.124,1523.124,1745.9712,83.312,4090.4424,Faded HC and surface,22,2,9,NA,24,1,2,NA,24,1,3,NA,1,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,8,12,NA,129.255,NA,NA,149.525,NA,NA,8,6,NA,59.216,NA,NA,#VALUE!,103.126,NA,Surface extands beyond top and bottom of image,24,1,NA,NA,26,1,NA,NA,26,1,NA,NA,3,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,12,11,NA,128.406,NA,NA,169.947,NA,NA,12,8,NA,79.897,NA,NA,#VALUE!,111.069,NA,NA,26,2,NA,NA,NA,NA,NA,NA,28,0,NA,NA,5,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,16,10,NA,99.954,NA,NA,130.193,NA,NA,16,7,NA,64.417,NA,NA,#VALUE!,136.628,NA,NA,28,2,NA,NA,NA,NA,NA,NA,30,0,NA,NA,7,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,20,3,NA,27.799,NA,NA,112.875,NA,NA,20,1,NA,4.231,NA,NA,#VALUE!,133.982,NA,NA,30,0,NA,NA,NA,NA,NA,NA,32,1,NA,NA,9,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,32,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,NA,NA
Indiv4L_c262_60x(typo-c292),4,left,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,4,22,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,0,NA,NA
